Turn,Speaker,Cue,Response,Context,Overall Human Rating,Interesting,Engaging,Specific,Relevant,Correct,Semantically Appropriate,Understandable,Fluent
223,BLENDERBOT,Interesting . ,I do n't know I guess I just feel like I 'm not good enough for them.,"but I was wrong. and then the wolves came .  I felt so bad about it. Why? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting . ",,,,,,,,,
224,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,May I ask you why? . ,"hy? .  I do n't know. Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
225,BLENDERBOT,May I ask you why? . ,I do n't know,"Wise words by wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? . ",,,,,,,,,
226,Leolani,I do n't know,Good to know . ,"wise men write wise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know",,,,,,,,,
227,BLENDERBOT,Good to know . ,I do n't know I guess I just feel like I 'm not good enough for them.,"ise deeds in wise pen .  I just feel like I 'm not good enough for them. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know Good to know . ",,,,,,,,,
228,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,"But, why? . ","m. And thus, I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
229,BLENDERBOT,"But, why? . ",I do n't know,"I die .  I feel like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? . ",,,,,,,,,
230,Leolani,I do n't know,In this economy? . ,"l like they do n't deserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know",,,,,,,,,
231,BLENDERBOT,In this economy? . ,I do n't know I guess I just feel like I 'm not good enough for them.,"eserve me. May I ask you why? .  I do n't know Interesting .  I do n't know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? . ",,,,,,,,,
232,Leolani,I do n't know I guess I just feel like I 'm not good enough for them.,As the prophecy foretold . ," know I guess I just feel like I 'm not good enough for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them.",,,,,,,,,
233,BLENDERBOT,As the prophecy foretold . ,I am so happy for you !,"ke I 'm not good enough for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold . ",,,,,,,,,
234,Leolani,I am so happy for you !,Good to know . ,"for them. May I ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you !",,,,,,,,,
235,BLENDERBOT,Good to know . ,How long have you been together?,"ask you why? .  I do n't know Good to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know . ",,,,,,,,,
236,Leolani,How long have you been together?,In this economy? . ,"d to know .  I do n't know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together?",,,,,,,,,
237,BLENDERBOT,In this economy? . ,Are you going to propose?,"t know I guess I just feel like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together? In this economy? . ",,,,,,,,,
238,Leolani,Are you going to propose?,... just like in my dream . ," like I 'm not good enough for them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose?",,,,,,,,,
239,BLENDERBOT,... just like in my dream . ,What is your dream?,"r them. But, why? .  I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream . ",,,,,,,,,
240,Leolani,What is your dream?,One more thing off the bucket list . , I do n't know In this economy? .  I do n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream .  What is your dream?,,,,,,,,,
241,BLENDERBOT,One more thing off the bucket list . ,I hope it 's something that you can live up to in the future.,o n't know I guess I just feel like I 'm not good enough for them. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream .  What is your dream? One more thing off the bucket list . ,,,,,,,,,
242,Leolani,I hope it 's something that you can live up to in the future.,So ... it   has come to this . ,hem. As the prophecy foretold .  I am so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream .  What is your dream? One more thing off the bucket list .  I hope it 's something that you can live up to in the future.,,,,,,,,,
243,BLENDERBOT,So ... it   has come to this . ,Yes, I am so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream .  What is your dream? One more thing off the bucket list .  I hope it 's something that you can live up to in the future. So ... it   has come to this . ,,,,,,,,,
244,Leolani,Yes,Why? . ,m so happy for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream .  What is your dream? One more thing off the bucket list .  I hope it 's something that you can live up to in the future. So ... it   has come to this .  Yes,,,,,,,,,
245,BLENDERBOT,Why? . ,Yes it has.,py for you ! Good to know .  How long have you been together? In this economy? .  Are you going to propose? ... just like in my dream .  What is your dream? One more thing off the bucket list .  I hope it 's something that you can live up to in the future. So ... it   has come to this .  Yes Why? . ,,,,,,,,,
